num_agents,world_size,obs_density,el_mean,el_std,mr_mean,mr_std,co_mean,co_std,sr_mean,distance,block,congestion
"40","15","0.3","153.37","86.84660672703336","38.84","2.985699248082432","0.04116129381602424","0.04189945210059871","0.65","0","0","0"
"10","15","0","18.24","3.1404458282224836","10","0","0","0","1","-0.6","0","0"
"10","15","0.15","19.67","3.2712535823442366","10","0","0.0003063492063492064","0.0017457799241204002","1","-0.6","0","0"
"10","15","0.3","31.22","24.999831999435514","9.99","0.09949874371066199","0.0017039066283000986","0.004265348063145362","0.99","-0.6","0","0"
"20","15","0","22.25","4.92214384186403","20","0","0.000041739130434782605","0.00029243259769833697","1","-0.6","0","0"
"20","15","0.15","25.04","5.663779656731007","20","0","0.0018253942188636168","0.0040400715074564025","1","-0.6","0","0"
"20","15","0.3","48.94","43.35477367026611","19.97","0.17058722109231983","0.009152353581033673","0.01343016137641313","0.97","-0.6","0","0"
"30","15","0","22.76","2.757245001808871","30","0","0.0002381641546858938","0.0006022459340412542","1","-0.6","0","0"
"30","15","0.15","36.11","33.34663251364371","29.98","0.13999999999999999","0.003417627605745976","0.004038228481245556","0.98","-0.6","0","0"
"30","15","0.3","99.72","79.79687713187779","29.62","1.7537388631150312","0.021179286456707885","0.03061415486491248","0.83","-0.6","0","0"
"40","15","0","27.14","15.407154182392022","40","0","0.0009445514337881908","0.0016632539465267235","1","-0.6","0","0"
"40","15","0.15","56.5","58.496239195353404","39.92","0.3370459909270543","0.007599842730315778","0.008287795941688051","0.94","-0.6","0","0"
"40","15","0.3","207.07","73.44498008713734","37.53","4.966799774502692","0.04950417657383559","0.0640628932855635","0.36","-0.6","0","0"
"10","15","0","19.36","4.455378771776873","10","0","0","0","1","0.3","0","0"
"10","15","0.15","20.69","4.7427734502082215","10","0","0.0002851282051282051","0.002183222380004444","1","0.3","0","0"
"10","15","0.3","30.4","26.196946386936016","9.99","0.09949874371066199","0.002927488488816648","0.01363581561300778","0.99","0.3","0","0"
"20","15","0","25.25","15.246884927748356","20","0","0.00003083491461100569","0.00021607886008805956","1","0.3","0","0"
"20","15","0.15","29.86","8.870197292056137","20","0","0.000682465859957564","0.002038970700349899","1","0.3","0","0"
"20","15","0.3","61.45","54.39731151444895","19.92","0.33704599092705434","0.008623220695301786","0.0159077426334322","0.94","0.3","0","0"
"30","15","0","29.19","9.279757539936053","30","0","0.00020556190353380175","0.0006018140482429767","1","0.3","0","0"
"30","15","0.15","42.82","22.49416813309619","30","0","0.0024551188629901017","0.002983876814596098","1","0.3","0","0"
"30","15","0.3","80.22","54.63123282518893","29.94","0.27640549922170504","0.012195791707263844","0.00901137329934658","0.95","0.3","0","0"
"40","15","0","34.77","12.914220843705593","40","0","0.0007172910078152126","0.0014083122387989068","1","0.3","0","0"
"40","15","0.15","55.96","41.598298042107444","39.97","0.17058722109231983","0.0050691365944814295","0.005116258691043374","0.97","0.3","0","0"
"40","15","0.3","147.14","78.7028614473451","39.2","2.097617696340303","0.026640321909365595","0.027780836224975746","0.71","0.3","0","0"
"10","15","0","19.2","4.1400483088968905","10","0","0","0","1","-0.3","0","0"
"10","15","0.15","20.31","4.8963149408509254","10","0","0.0005653093706802147","0.0019993548326201114","1","-0.3","0","0"
"10","15","0.3","29.77","19.77769197859042","10","0","0.0011361061367167443","0.0026715452393995588","1","-0.3","0","0"
"20","15","0","21.84","3.5120364462801352","20","0","0","0","1","-0.3","0","0"
"20","15","0.15","27.22","14.180676993712252","20","0","0.0009125274938963864","0.0019343554664861976","1","-0.3","0","0"
"20","15","0.3","51.56","46.32328140363116","19.94","0.3104834939252005","0.009983788275459387","0.018017072365544888","0.96","-0.3","0","0"
"30","15","0","23.82","3.6232030028691464","30","0","0.0001734029963040458","0.0005308970149648097","1","-0.3","0","0"
"30","15","0.15","36.92","27.445101566581968","29.99","0.09949874371066199","0.0032008367286597557","0.003437151157362718","0.99","-0.3","0","0"
"30","15","0.3","96.2","72.51413655281293","29.61","1.8379064176393753","0.01683624047543861","0.027550904986056283","0.87","-0.3","0","0"
"40","15","0","28.67","12.15570236555667","40","0","0.0006381412706991851","0.0009060766881873941","1","-0.3","0","0"
"40","15","0.15","49.03","37.71536954611475","39.99","0.099498743710662","0.0059444095777553205","0.0051649260066134635","0.99","-0.3","0","0"
"40","15","0.3","174.42","84.16153278071877","38.94","2.6299049412478777","0.030838263218637335","0.035096936080694065","0.57","-0.3","0","0"
"10","15","0","18.61","3.682105376004331","10","0","0","0","1","-0.1","0","0"
"10","15","0.15","20.17","3.797512343627075","10","0","0.00034731934731934734","0.0017149889265269602","1","-0.1","0","0"
"10","15","0.3","30.5","16.629792542301903","10","0","0.0018449333588223915","0.004377629560135906","1","-0.1","0","0"
"20","15","0","22.29","3.6913276744282673","20","0","0","0","1","-0.1","0","0"
"20","15","0.15","25.08","4.3004185842775815","20","0","0.0013080614876523034","0.003256937038493028","1","-0.1","0","0"
"20","15","0.3","53.12","47.78499346029044","19.95","0.2598076211353316","0.006325058038681103","0.00671566094982921","0.96","-0.1","0","0"
"30","15","0","26.11","5.615861465527796","30","0","0.00022918506715858045","0.0006975530502773224","1","-0.1","0","0"
"30","15","0.15","36.47","24.798973769089717","29.99","0.09949874371066196","0.0026085498648041805","0.0028403903034129084","0.99","-0.1","0","0"
"30","15","0.3","101.89","76.5503618541415","29.52","2.0222759455623263","0.017576622749948353","0.04218965019446731","0.83","-0.1","0","0"
"40","15","0","29.27","8.638119008210063","40","0","0.0011023068491764327","0.003014194706098537","1","-0.1","0","0"
"40","15","0.15","58.15","51.65643715937056","39.95","0.21794494717703367","0.006102960082211208","0.005007305335240315","0.95","-0.1","0","0"
"40","15","0.3","174.2","82.40400475705049","38.56","3.473672408273411","0.029767122316465732","0.039018246063404274","0.57","-0.1","0","0"
